,Date,Open,High,Low,Close,Adj Close,Volume,SMA,STD_DEV,UB,LB,state
98,2019-04-05,1360.949951,1363.900024,1343.0,1353.900024,1346.443726,6728239,1345.4099975000001,14.358512866024341,1374.127023232049,1316.6929717679513,B
97,2019-04-04,1379.0,1383.699951,1347.25,1353.050049,1345.598389,8375674,1346.1800048,14.352638837278185,1374.8852824745563,1317.4747271254437,B
96,2019-04-03,1392.75,1403.0,1372.0,1375.199951,1367.626343,7849461,1345.1050048000002,12.668487311980577,1370.4419794239614,1319.768030176039,A
95,2019-04-02,1398.0,1403.099976,1380.099976,1389.699951,1382.046509,8012636,1349.6999999000002,10.007027065240075,1369.7140540304804,1329.68594576952,A
94,2019-04-01,1370.0,1406.800049,1362.550049,1391.849976,1384.184692,10098281,1354.8699951,7.571104544848782,1370.0122041896977,1339.7277860103025,A
93,2019-03-28,1350.25,1369.800049,1342.800049,1360.0,1352.510132,10482938,1356.5599975,5.903657301281497,1368.367312102563,1344.7526828974371,B
92,2019-03-27,1377.949951,1377.949951,1344.25,1349.25,1341.819336,10094174,1356.8049926,4.954905633432469,1366.714803866865,1346.8951813331353,B
91,2019-03-26,1330.300049,1371.599976,1330.0,1367.25,1359.720215,9479288,1360.3899902,5.581264623691471,1371.552519447383,1349.227460952617,B
90,2019-03-25,1330.599976,1336.849976,1316.699951,1324.449951,1317.1557619999999,7951992,1359.3899902,6.132712104960422,1371.655414409921,1347.1245659900792,C
89,2019-03-22,1372.5,1380.900024,1336.699951,1341.75,1334.360596,11465112,1360.6399902,6.317990385890727,1373.2759709717816,1348.0040094282185,C
88,2019-03-20,1377.800049,1388.0,1364.0,1375.449951,1367.875,9892823,1362.7949829000002,6.2343501582550855,1375.2636832165103,1350.32628258349,A
87,2019-03-19,1360.0,1380.0,1343.099976,1376.550049,1368.9689939999998,9805318,1365.1449829,6.052820026731286,1377.2506229534627,1353.0393428465375,B
86,2019-03-18,1331.0,1357.949951,1329.0,1350.050049,1342.61499,10105234,1362.6299927,4.525438236542227,1371.6808691730844,1353.5791162269156,C
85,2019-03-15,1345.0,1358.800049,1311.199951,1321.650024,1314.3713380000002,15893093,1355.825,3.4233245981522766,1362.6716491963045,1348.9783508036955,C
84,2019-03-14,1349.75,1362.0,1336.099976,1341.550049,1334.161743,10402048,1350.7950073,4.19248589406699,1359.179979088134,1342.410035511866,C
83,2019-03-13,1337.0,1360.0,1328.099976,1347.300049,1339.880127,11236048,1349.5250122,5.147133401330166,1359.8192790026603,1339.2307453973397,B
82,2019-03-12,1316.900024,1334.0,1314.25,1331.349976,1324.017822,11228736,1347.7350098,6.158096769150702,1360.0512033383013,1335.4188162616986,C
81,2019-03-11,1270.050049,1312.0,1268.0,1304.099976,1296.9179689999999,9718840,1341.4200073999998,7.853054033642027,1357.1261154672839,1325.7138993327158,C
80,2019-03-08,1266.050049,1274.449951,1262.0,1267.099976,1260.121704,6040052,1335.6850098999998,9.891691797081824,1355.4683934941636,1315.901626305836,C
79,2019-03-07,1264.0,1279.800049,1258.150024,1270.25,1263.254395,8109259,1328.5350098999997,12.16460014404195,1352.8642101880837,1304.2058096119158,C
78,2019-03-06,1239.800049,1273.099976,1235.099976,1264.800049,1257.8344730000001,12038231,1317.4700196999997,14.987647718821036,1347.4453151376417,1287.4947242623577,C
77,2019-03-05,1223.400024,1239.800049,1218.599976,1237.650024,1230.8339839999999,7121509,1303.5800171999997,18.29118927657475,1340.1623957531492,1266.9976386468502,C
76,2019-03-01,1237.0,1242.349976,1222.25,1226.050049,1219.297852,7922513,1291.1800171999998,21.793734984437855,1334.7674871688755,1247.5925472311242,C
75,2019-02-28,1233.75,1239.849976,1226.550049,1231.050049,1224.270264,11286916,1282.1200196999996,25.116704782613255,1332.3534292652262,1231.886610134773,C
74,2019-02-27,1228.050049,1244.900024,1209.0,1223.5,1216.761841,11113182,1270.3150147999997,28.525887731655043,1327.36679026331,1213.2632393366896,B
73,2019-02-26,1209.5,1234.800049,1206.0,1220.25,1213.529785,10131050,1257.6100098999998,31.4523168297935,1320.5146435595868,1194.7053762404128,B
72,2019-02-25,1236.0,1243.0,1220.650024,1232.300049,1225.513428,7852528,1247.7050171999997,33.11968989387311,1313.944396987746,1181.4656374122535,B
71,2019-02-22,1244.599976,1245.300049,1226.0,1232.349976,1225.56311,8755865,1240.5300171999997,33.637728236441745,1307.8054736728832,1173.2545607271163,B
70,2019-02-21,1236.0,1257.800049,1229.349976,1246.900024,1240.032959,10580178,1238.510022,32.166496207833134,1302.8430144156662,1174.1770295843337,B
69,2019-02-20,1223.849976,1240.0,1219.0,1234.349976,1227.552002,6298179,1234.9200195999997,29.234867889549545,1293.3897553790987,1176.4502838209007,B
68,2019-02-19,1218.0,1239.699951,1211.199951,1216.099976,1209.4025880000002,6244189,1230.0500122999997,25.7976753246284,1281.6453629492564,1178.454661650743,B
67,2019-02-18,1250.0,1252.5,1215.0,1220.099976,1213.380493,9649017,1228.2950074999997,22.30219222006921,1272.899391940138,1183.6906230598613,B
66,2019-02-15,1229.75,1249.900024,1214.0,1244.449951,1237.596436,9597961,1230.1349976999998,18.444888419026924,1267.0247745380536,1193.2452208619459,B
65,2019-02-14,1241.0,1241.0,1218.0,1224.199951,1217.457886,6627360,1229.4499879,13.967271050413885,1257.3845300008277,1201.5154457991723,B
64,2019-02-12,1251.5,1272.349976,1251.5,1256.400024,1249.4807130000002,6399485,1232.7399903,9.45630272742245,1251.652595754845,1213.8273848451552,A
63,2019-02-11,1275.900024,1276.0,1251.0,1253.25,1246.3480220000001,7523999,1236.0399903,6.093535456645906,1248.2270612132918,1223.8529193867082,A
